Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
"What is the earliest date of a transcript release, and what details can you tell me?",medium,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1","SELECT MIN(t.transcript_date) AS earliest_transcript_date, t.other_details FROM transcripts t GROUP BY t.other_details ORDER BY earliest_transcript_date ASC LIMIT 1","SELECT MIN(T1.transcript_date) AS EarliestTranscriptDate, T2.first_name, T2.middle_name, T2.last_name, T3.course_name, T4.degree_summary_name FROM transcripts AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_course_id = T2.student_enrolment_id INNER JOIN student_enrolment_courses AS T3 ON T2.student_enrolment_id = T3.student_enrolment_id INNER JOIN degree_programs AS T4 ON T2.degree_program_id = T4.degree_program_id GROUP BY T1.transcript_id",1,0
How many transcripts are released?,easy,SELECT count(*) FROM Transcripts,SELECT COUNT(*) AS number_of_transcripts FROM transcripts,SELECT COUNT(*) FROM transcripts AS T1,1,1
How many transcripts are listed?,easy,SELECT count(*) FROM Transcripts,SELECT COUNT(*) FROM transcripts,SELECT COUNT(*) FROM transcripts,1,1
What is the last transcript release date?,medium,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,SELECT MAX(transcript_date) AS last_transcript_release_date FROM transcripts,SELECT MAX(T2.transcript_date) FROM transcripts AS T2,1,1
When was the last transcript released?,medium,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,SELECT MAX(transcript_date) AS last_transcript_date FROM transcripts,SELECT MAX(T1.transcript_date) FROM transcripts AS T1,1,1
How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,hard,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT    sec.course_id,   sec.section_id,   sec.section_name,   sec.section_description,   sec.other_details,   COUNT(tc.transcript_id) AS max_transcript_count,   sec.student_enrolment_id FROM    sections sec JOIN    student_enrolment_courses sec_enrol ON sec.section_id = sec_enrol.course_id JOIN    transcripts_contents tc ON sec_enrol.student_course_id = tc.student_course_id GROUP BY    sec.section_id, sec.student_enrolment_id ORDER BY    max_transcript_count DESC, sec.section_id","SELECT COUNT(T1.student_course_id) AS MaxEnrollments, T1.student_course_id FROM student_enrolment_courses AS T1 INNER JOIN transcripts AS T2 ON T1.student_course_id = T2.student_course_id GROUP BY T1.student_course_id ORDER BY MaxEnrollments DESC LIMIT 1",0,0
What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,hard,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT    sc.student_enrolment_id,    COUNT(sc.course_id) AS course_count FROM    student_enrolment_courses sc GROUP BY    sc.student_enrolment_id ORDER BY    course_count DESC LIMIT 1","SELECT T1.course_id, MAX(T1.course_count) AS max_course_count FROM (SELECT SEC.course_id, COUNT(TCO.transcript_id) AS course_count FROM sections AS SEC INNER JOIN transcript_contents AS TCO ON SEC.course_id = TCO.student_course_id GROUP BY SEC.course_id) AS T1",0,0
"Show the date of the transcript which shows the least number of results, also list the id.",extra,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","SELECT transcript_date, transcript_id FROM transcripts ORDER BY (     SELECT COUNT(*)     FROM transcript_contents     WHERE transcripts.transcript_id = transcript_contents.transcript_id ) ASC LIMIT 1",NULL,0,0
What is the date and id of the transcript with the least number of results?,extra,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","SELECT t.transcript_id, t.transcript_date FROM transcripts t ORDER BY (SELECT COUNT(*) FROM transcript_contents tc WHERE tc.transcript_id = t.transcript_id) ASC LIMIT 1",NULL,0,0
Find the semester when both Master students and Bachelor students got enrolled in.,extra,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',"SELECT DISTINCT s.semester_name FROM semesters s JOIN student_enrolment se ON s.semester_id = se.semester_id JOIN degree_programs dp ON se.degree_program_id = dp.degree_program_id WHERE dp.degree_summary_name IN ('Master', 'Bachelor') GROUP BY s.semester_id, dp.degree_summary_name HAVING COUNT(DISTINCT dp.degree_summary_name) = 2","SELECT DISTINCT T1.semester_id FROM semesters AS T1 INNER JOIN student_enrolment AS T2 ON T1.semester_id = T2.semester_id INNER JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name IN ('Master', 'Bachelor')",0,0
What is the id of the semester that had both Masters and Bachelors students enrolled?,extra,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',"SELECT s.semester_id FROM semesters s JOIN student_enrolment se ON s.semester_id = se.semester_id JOIN degree_programs dp ON se.degree_program_id = dp.degree_program_id WHERE dp.degree_summary_name IN ('Masters', 'Bachelors') GROUP BY s.semester_id HAVING COUNT(DISTINCT dp.degree_summary_name) = 2",NULL,0,0
How many different addresses do the students currently live?,easy,SELECT count(DISTINCT current_address_id) FROM Students,SELECT COUNT(DISTINCT current_address_id) AS distinct_addresses FROM students,SELECT COUNT(DISTINCT T1.current_address_id) FROM students AS T1,1,1
What are the different addresses that have students living there?,easy,SELECT count(DISTINCT current_address_id) FROM Students,"SELECT DISTINCT a.address_id, a.line_1, a.line_2, a.line_3, a.city, a.zip_postcode, a.state_province_county, a.country, a.other_address_details FROM addresses a JOIN students s ON a.address_id = s.current_address_id OR a.address_id = s.permanent_address_id ORDER BY a.address_id","SELECT DISTINCT T2.address_id, T2.line_1, T2.line_2, T2.line_3, T2.city, T2.zip_postcode, T2.state_province_county, T2.country FROM students AS T1 INNER JOIN addresses AS T2 ON T1.current_address_id = T2.address_id OR T1.permanent_address_id = T2.address_id WHERE T1.current_address_id IS NOT NULL OR T1.permanent_address_id IS NOT NULL",0,0
List all the student details in reversed lexicographical order.,easy,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,"SELECT * FROM students ORDER BY last_name DESC, first_name DESC, middle_name DESC","SELECT * FROM students ORDER BY last_name DESC, first_name DESC, middle_name DESC",0,0
What other details can you tell me about students in reverse alphabetical order?,easy,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,SELECT other_student_details FROM students ORDER BY last_name DESC,SELECT other_student_details FROM students ORDER BY last_name DESC,1,1
Describe the section h.,easy,SELECT section_description FROM Sections WHERE section_name  =  'h',NULL,"SELECT section_name, section_description, course_name, department_name, degree_summary_name FROM sections JOIN courses ON sections.course_id = courses.course_id JOIN degree_programs ON courses.course_id = degree_programs.course_id JOIN departments ON degree_programs.department_id = departments.department_id WHERE section_id = 'h'",0,0
What is the description for the section named h?,easy,SELECT section_description FROM Sections WHERE section_name  =  'h',SELECT section_description FROM sections WHERE section_name = 'h',SELECT T2.section_description FROM sections AS T1 INNER JOIN sections AS T2 ON T1.section_id = T2.section_id WHERE T1.section_name = 'h',1,1
Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,hard,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',SELECT first_name FROM students WHERE country = 'Haiti' OR cell_mobile_number = '09700166582',SELECT T2.first_name FROM students AS T2 WHERE T2.country = 'Haiti' OR T2.cell_mobile_number = '09700166582',0,0
What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,hard,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',SELECT first_name FROM students WHERE permanent_address_id IN (     SELECT address_id     FROM addresses     WHERE country = 'Haiti' ) OR cell_mobile_number = '09700166582',SELECT DISTINCT T2.first_name FROM students AS T2 WHERE T2.country = 'Haiti' AND T2.permanent_address_id IS NOT NULL OR T2.cell_mobile_number = '09700166582',0,0
List the title of all cartoons in alphabetical order.,easy,SELECT Title FROM Cartoon ORDER BY title,SELECT title FROM cartoon ORDER BY title ASC,NULL,1,0
What are the titles of the cartoons sorted alphabetically?,easy,SELECT Title FROM Cartoon ORDER BY title,SELECT title FROM cartoon ORDER BY title ASC,select the titles of these cartoons? 4. How can we sort the selected titles alphabetically?,1,0
"List all cartoon directed by ""Ben Jones"".",easy,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";","SELECT c.id, c.title, c.directed_by, c.written_by, c.original_air_date, c.production_code, c.channel FROM cartoon c WHERE c.directed_by = 'Ben Jones'",SELECT c.title FROM cartoon AS c INNER JOIN tv_channel AS t ON c.channel = t.id WHERE c.directed_by = 'Ben Jones',0,1
What are the names of all cartoons directed by Ben Jones?,easy,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";",SELECT title FROM cartoon WHERE directed_by = 'Ben Jones',SELECT T2.title FROM cartoon AS T2 WHERE T2.directed_by = 'Ben Jones',1,1
"How many cartoons were written by ""Joseph Kuhr""?",easy,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",SELECT COUNT(*)  FROM cartoon  WHERE written_by = 'Joseph Kuhr',SELECT COUNT(*) FROM cartoon AS T1 WHERE T1.written_by = 'Joseph Kuhr',1,1
What is the number of cartoones written by Joseph Kuhr?,easy,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",SELECT COUNT(*) FROM cartoon WHERE written_by = 'Joseph Kuhr',SELECT COUNT(*) FROM cartoon AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T2.country = 'USA' AND T1.written_by = 'Joseph Kuhr',1,0
list all cartoon titles and their directors ordered by their air date,medium,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date","SELECT title, directed_by FROM cartoon ORDER BY original_air_date","SELECT T3.title, T3.directed_by FROM cartoon AS T3 INNER JOIN tv_series AS T2 ON T3.channel = T2.channel WHERE T2.episode = 1 ORDER BY T2.air_date",1,0
What is the name and directors of all the cartoons that are ordered by air date?,medium,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date","SELECT title, directed_by FROM cartoon ORDER BY original_air_date",NULL,1,0
"List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"".",medium,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";","SELECT title FROM cartoon WHERE directed_by IN ('Ben Jones', 'Brandon Vietti')","SELECT c.title FROM cartoon AS c WHERE c.directed_by IN ('Ben Jones', 'Brandon Vietti')",1,1
What are the titles of all cartoons directed by Ben Jones or Brandon Vietti?,medium,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";","SELECT title FROM cartoon WHERE directed_by IN ('Ben Jones', 'Brandon Vietti')",NULL,1,0
Which country has the most of TV Channels? List the country and number of TV Channels it has.,hard,"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;","SELECT country, COUNT(id) AS num_channels FROM tv_channel GROUP BY country ORDER BY num_channels DESC LIMIT 1","SELECT Country, COUNT(id) AS NumberOfChannels FROM tv_channel GROUP BY Country ORDER BY NumberOfChannels DESC LIMIT 1",1,1
What is the country with the most number of TV Channels and how many does it have?,hard,"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;","SELECT country, COUNT(id) AS num_channels FROM tv_channel GROUP BY country ORDER BY num_channels DESC LIMIT 1","SELECT T1.country, COUNT(T1.id) AS channel_count FROM tv_channel AS T1 GROUP BY T1.country ORDER BY channel_count DESC LIMIT 1",1,1
List the number of different series names and contents in the TV Channel table.,medium,"SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;","SELECT COUNT(DISTINCT series_name) AS distinct_series_names, COUNT(DISTINCT content) AS distinct_contents FROM tv_channel","SELECT COUNT(DISTINCT series_name) AS distinct_series_names, COUNT(DISTINCT content) AS distinct_contents FROM tv_channel",1,1
How many different series and contents are listed in the TV Channel table?,medium,"SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;",SELECT COUNT(DISTINCT series_name) + COUNT(DISTINCT content) AS total_series_and_contents FROM tv_channel,"SELECT COUNT(DISTINCT series_name) AS distinct_series, COUNT(DISTINCT content) AS distinct_content FROM tv_channel",0,1
"What is the content of TV Channel with serial name ""Sky Radio""?",easy,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";",SELECT content  FROM tv_channel  WHERE series_name = 'Sky Radio',SELECT T1.content FROM tv_channel AS T1 WHERE T1.series_name = 'Sky Radio',1,1
What is the content of the series Sky Radio?,easy,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";",SELECT content FROM tv_channel WHERE series_name = 'Sky Radio',SELECT T1.content FROM tv_channel AS T1 WHERE T1.series_name = 'Sky Radio',1,1
"What is the Package Option of TV Channel with serial name ""Sky Radio""?",easy,"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";",SELECT package_option  FROM tv_channel  WHERE series_name = 'Sky Radio',SELECT T2.package_option FROM tv_channel AS T1 INNER JOIN tv_channel AS T2 ON T1.id = T2.id WHERE T1.series_name = 'Sky Radio',1,1
What are the Package Options of the TV Channels whose series names are Sky Radio?,easy,"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";",SELECT package_option FROM tv_channel WHERE series_name = 'Sky Radio',SELECT DISTINCT T1.package_option FROM tv_channel AS T1 INNER JOIN tv_series AS T2 ON T1.id = T2.channel WHERE T2.series_name = 'Sky Radio',1,0
How many TV Channel using language English?,easy,"SELECT count(*) FROM TV_Channel WHERE LANGUAGE = ""English"";",SELECT COUNT(*)  FROM tv_channel  WHERE language = 'English',SELECT COUNT(DISTINCT T1.id) FROM tv_channel AS T1 WHERE T1.language = 'English',1,1
How many TV Channels use the English language?,easy,"SELECT count(*) FROM TV_Channel WHERE LANGUAGE = ""English"";",SELECT COUNT(*)  FROM tv_channel  WHERE language = 'English',SELECT COUNT(DISTINCT T1.id) FROM tv_channel AS T1 WHERE T1.language = 'English',1,1
List the language used least number of TV Channel. List language and number of TV Channel.,hard,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE ORDER BY count(*) ASC LIMIT 1;","SELECT language, COUNT(*) AS num_channels FROM tv_channel GROUP BY language ORDER BY num_channels ASC LIMIT 1","SELECT T1.language, COUNT(T1.id) AS NumberOfTVChannel FROM tv_channel AS T1 GROUP BY T1.language ORDER BY NumberOfTVChannel ASC LIMIT 1",1,1
What are the languages used by the least number of TV Channels and how many channels use it?,hard,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE ORDER BY count(*) ASC LIMIT 1;","SELECT language, COUNT(*) AS channel_count FROM tv_channel GROUP BY language ORDER BY channel_count ASC LIMIT 1","SELECT T1.language, COUNT(T1.id) AS channel_count FROM tv_channel AS T1 GROUP BY T1.language ORDER BY channel_count ASC LIMIT 1",1,1
List each language and the number of TV Channels using it.,medium,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE","SELECT language, COUNT(id) AS number_of_channels FROM tv_channel GROUP BY language","SELECT T1.language, COUNT(T1.id) AS NumberOfChannels FROM tv_channel AS T1 GROUP BY T1.language",1,1
"For each language, list the number of TV Channels that use it.",medium,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE","SELECT language, COUNT(id) AS num_channels FROM tv_channel GROUP BY language ORDER BY num_channels DESC, language","SELECT T2.language, COUNT(T1.id) AS NumberOfChannels FROM tv_channel AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id GROUP BY T2.language",1,0
"What is the TV Channel that shows the cartoon ""The Rise of the Blue Beetle!""? List the TV Channel's series name.",medium,"SELECT T1.series_name FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T2.Title = ""The Rise of the Blue Beetle!"";",SELECT tc.series_name FROM tv_channel tc JOIN cartoon c ON tc.id = c.channel WHERE c.title = ',SELECT T2.series_name FROM tv_channel AS T1 INNER JOIN cartoon AS T2 ON T1.id = T2.channel WHERE T2.title = ',0,0
"What is the series name of the TV Channel that shows the cartoon ""The Rise of the Blue Beetle""?",medium,"SELECT T1.series_name FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T2.Title = ""The Rise of the Blue Beetle!"";",SELECT tv_channel.series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = ',SELECT T2.series_name FROM tv_channel AS T1 INNER JOIN cartoon AS T2 ON T1.id = T2.channel WHERE T2.title = ',0,0
"List the title of all  Cartoons showed on TV Channel with series name ""Sky Radio"".",medium,"SELECT T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";",SELECT cartoon.title FROM cartoon INNER JOIN tv_channel ON cartoon.channel = tv_channel.id WHERE tv_channel.series_name = 'Sky Radio',SELECT T2.title FROM cartoon AS T2 INNER JOIN tv_channel AS T1 ON T2.channel = T1.id WHERE T1.series_name = 'Sky Radio',1,1
"What is the title of all the cartools that are on the TV Channel with the series name ""Sky Radio""?",medium,"SELECT T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";",SELECT cartoon.title FROM cartoon JOIN tv_channel ON cartoon.channel = tv_channel.id WHERE tv_channel.series_name = 'Sky Radio',SELECT T2.title FROM cartoon AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T2.series_name = 'Sky Radio',1,0
List the Episode of all TV series sorted by rating.,easy,SELECT Episode FROM TV_series ORDER BY rating,"SELECT episode, rating FROM tv_series ORDER BY rating","SELECT ts.episode, ts.air_date, ts.rating, ts.share, ts.18_49_rating_share, ts.viewers_m, ts.weekly_rank, ts.channel FROM tv_series AS ts ORDER BY ts.rating DESC",0,0
What are all of the episodes ordered by ratings?,easy,SELECT Episode FROM TV_series ORDER BY rating,"SELECT episode, rating FROM tv_series ORDER BY rating","SELECT T2.episode, T2.air_date, T2.rating, T2.share, T2.18_49_rating_share, T2.viewers_m, T2.weekly_rank FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id ORDER BY T2.rating DESC",0,0
List top 3 highest Rating  TV series. List the TV series's Episode and Rating.,medium,"SELECT Episode ,  Rating FROM TV_series ORDER BY Rating DESC LIMIT 3;","SELECT episode, rating FROM tv_series ORDER BY rating DESC LIMIT 3","SELECT T2.episode, T2.rating FROM tv_series AS T2 ORDER BY T2.rating DESC LIMIT 3",1,1
What are 3 most highly rated episodes in the TV series table and what were those ratings?,medium,"SELECT Episode ,  Rating FROM TV_series ORDER BY Rating DESC LIMIT 3;","SELECT episode, rating FROM tv_series ORDER BY rating DESC LIMIT 3","SELECT T2.episode, T2.rating FROM tv_series AS T2 ORDER BY T2.rating DESC LIMIT 3",1,1
What is minimum and maximum share of TV series?,medium,"SELECT max(SHARE) , min(SHARE) FROM TV_series;","SELECT MIN(share) AS min_share, MAX(share) AS max_share FROM tv_series","SELECT MIN(T2.share) AS MinShare, MAX(T2.share) AS MaxShare FROM tv_series AS T2",0,0
What is the maximum and minimum share for the TV series?,medium,"SELECT max(SHARE) , min(SHARE) FROM TV_series;","SELECT MAX(share) AS Max_Share, MIN(share) AS Min_Share FROM tv_series","SELECT MAX(T2.share) AS MaxShare, MIN(T2.share) AS MinShare FROM tv_series AS T2",1,1
"What is the air date of TV series with Episode ""A Love of a Lifetime""?",easy,"SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",SELECT air_date  FROM tv_series  WHERE episode = 'A Love of a Lifetime',SELECT T2.air_date FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T1.episode = 'A Love of a Lifetime',1,0
"When did the episode ""A Love of a Lifetime"" air?",easy,"SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",SELECT air_date FROM tv_series WHERE episode = 'A Love of a Lifetime',SELECT ts.air_date FROM tv_series ts INNER JOIN tv_channel tc ON ts.channel = tc.id WHERE ts.episode = 'A Love of a Lifetime',1,1
"What is Weekly Rank of TV series with Episode ""A Love of a Lifetime""?",easy,"SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",SELECT weekly_rank  FROM tv_series  WHERE episode = 'A Love of a Lifetime',SELECT T2.weekly_rank FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T1.episode = 'A Love of a Lifetime',1,0
"What is the weekly rank for the episode ""A Love of a Lifetime""?",easy,"SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",SELECT weekly_rank  FROM tv_series  WHERE episode = 'A Love of a Lifetime',SELECT T2.weekly_rank FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T2.series_name = 'A Love of a Lifetime',1,0
"What is the TV Channel of TV series with Episode ""A Love of a Lifetime""? List the TV Channel's series name.",medium,"SELECT T1.series_name FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T2.Episode = ""A Love of a Lifetime"";",SELECT tv_channel.series_name FROM tv_channel JOIN tv_series ON tv_channel.id = tv_series.channel WHERE tv_series.episode = 'A Love of a Lifetime',"SELECT T2.series_name, T1.channel FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T1.episode = 'A Love of a Lifetime'",1,0
"What is the name of the series that has the episode ""A Love of a Lifetime""?",medium,"SELECT T1.series_name FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T2.Episode = ""A Love of a Lifetime"";",SELECT series_name FROM tv_channel JOIN tv_series ON tv_channel.id = tv_series.channel WHERE tv_series.episode = 'A Love of a Lifetime',SELECT T2.series_name FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T1.episode = 'A Love of a Lifetime',1,1
"List the Episode of all  TV series showed on TV Channel with series name ""Sky Radio"".",medium,"SELECT T2.Episode FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";",SELECT ts.episode FROM tv_series ts JOIN tv_channel tc ON ts.channel = tc.id WHERE tc.series_name = 'Sky Radio',SELECT T2.episode FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T2.series_name = 'Sky Radio',1,0
"What is the episode for the TV series named ""Sky Radio""?",medium,"SELECT T2.Episode FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";",SELECT episode FROM tv_series WHERE series_name = 'Sky Radio',SELECT T2.episode FROM tv_series AS T1 INNER JOIN tv_channel AS T2 ON T1.channel = T2.id WHERE T2.series_name = 'Sky Radio',0,0
Find the number of cartoons directed by each of the listed directors.,medium,"SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by","SELECT directed_by, COUNT(*) AS number_of_cartoons FROM cartoon GROUP BY directed_by",NULL,0,0
How many cartoons did each director create?,medium,"SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by","SELECT directed_by, COUNT(*) AS number_of_cartoons FROM cartoon GROUP BY directed_by ORDER BY number_of_cartoons DESC","SELECT T1.directed_by, COUNT(T1.id) AS total_cartoons FROM cartoon AS T1 GROUP BY T1.directed_by",0,0
Find the production code and channel of the most recently aired cartoon .,medium,"select production_code ,  channel from cartoon order by original_air_date desc limit 1","SELECT production_code, channel FROM cartoon ORDER BY air_date DESC LIMIT 1","SELECT T3.production_code, T3.channel FROM tv_series AS T1 INNER JOIN cartoon AS T3 ON T1.channel = T3.channel ORDER BY T1.air_date DESC LIMIT 1",0,0
What is the produdction code and channel of the most recent cartoon ?,medium,"select production_code ,  channel from cartoon order by original_air_date desc limit 1","SELECT production_code, channel FROM cartoon ORDER BY original_air_date DESC LIMIT 1",NULL,1,0
Find the package choice and series name of the TV channel that has high definition TV.,medium,"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""","SELECT package_option, series_name FROM tv_channel WHERE hight_definition_tv = 'Yes'","SELECT T1.package_option, T2.series_name FROM tv_channel AS T1 INNER JOIN tv_series AS T2 ON T1.id = T2.channel WHERE T1.hight_definition_tv = 'Yes'",0,0
What are the package options and the name of the series for the TV Channel that supports high definition TV?,medium,"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""","SELECT package_option, series_name FROM tv_channel WHERE hight_definition_tv = 'Yes'","SELECT T1.package_option, T2.series_name FROM tv_channel AS T1 INNER JOIN tv_series AS T2 ON T1.id = T2.channel WHERE T1.hight_definition_tv = 'Yes'",0,0
which countries' tv channels are playing some cartoon written by Todd Casey?,medium,SELECT T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.written_by  =  'Todd Casey',SELECT DISTINCT country FROM tv_channel WHERE content = 'cartoon' AND channel IN (     SELECT id     FROM cartoon     WHERE written_by = 'Todd Casey' ),SELECT DISTINCT T1.country FROM tv_channel AS T1 INNER JOIN cartoon AS T2 ON T1.id = T2.channel WHERE T2.written_by = 'Todd Casey',0,1
What are the countries that have cartoons on TV that were written by Todd Casey?,medium,SELECT T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.written_by  =  'Todd Casey',SELECT DISTINCT country FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE written_by = 'Todd Casey',SELECT DISTINCT T1.country FROM tv_channel AS T2 INNER JOIN cartoon AS T1 ON T2.id = T1.channel WHERE T1.written_by = 'Todd Casey',1,0
which countries' tv channels are not playing any cartoon written by Todd Casey?,hard,SELECT country FROM TV_Channel EXCEPT SELECT T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.written_by  =  'Todd Casey',SELECT DISTINCT country FROM tv_channel WHERE content = 'cartoon' AND package_option = 'none' AND id NOT IN (     SELECT channel     FROM cartoon     WHERE written_by = 'Todd Casey' ),SELECT DISTINCT T1.country FROM tv_channel AS T1 INNER JOIN cartoon AS T2 ON T1.id = T2.channel WHERE T2.written_by = 'Todd Casey' AND T2.channel NOT IN (SELECT channel FROM cartoon WHERE written_by = 'Todd Casey'),0,0
