Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
How many degrees does the engineering department offer?,medium,SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',NULL,SELECT COUNT(DISTINCT T1.degree_summary_name) FROM degree_programs AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id WHERE T2.department_name = 'Engineering',0,1
How many degrees does the engineering department have?,medium,SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',NULL,SELECT COUNT(DISTINCT T2.degree_summary_name) FROM departments AS T1 INNER JOIN degree_programs AS T2 ON T1.department_id = T2.department_id WHERE T1.department_name = 'Engineering',0,1
What are the names and descriptions of all the sections?,medium,"SELECT section_name ,  section_description FROM Sections","SELECT section_name, section_description FROM sections","SELECT section_name, section_description FROM sections",1,1
What are the names and descriptions for all the sections?,medium,"SELECT section_name ,  section_description FROM Sections","SELECT section_name ,  section_description FROM sections","SELECT section_name, section_description FROM sections",1,1
What are the names and id of courses having at most 2 sections?,medium,"SELECT T1.course_name ,  T1.course_id FROM Courses AS T1 JOIN Sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2","SELECT T1.course_name ,  T1.course_id FROM courses AS T1 JOIN sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2","SELECT T1.course_name, T1.course_id FROM courses AS T1 INNER JOIN sections AS T2 ON T1.course_id = T2.course_id GROUP BY T1.course_id HAVING COUNT(T2.section_id) <= 2",1,1
What are the names and ids of every course with less than 2 sections?,medium,"SELECT T1.course_name ,  T1.course_id FROM Courses AS T1 JOIN Sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2","SELECT course_name ,  course_id FROM courses WHERE course_id NOT IN ( SELECT course_id FROM sections GROUP BY course_id HAVING COUNT(*)  >=  2 ) ","SELECT T1.course_name, T1.course_id FROM courses AS T1 INNER JOIN sections AS T2 ON T1.course_id = T2.course_id GROUP BY T1.course_id HAVING COUNT(T2.section_id) < 2",0,0
List the section_name in reversed lexicographical order.,easy,SELECT section_name FROM Sections ORDER BY section_name DESC,SELECT section_name FROM sections ORDER BY section_name DESC,SELECT section_name FROM sections ORDER BY section_name DESC,1,1
What are the names of the sections in reverse alphabetical order?,easy,SELECT section_name FROM Sections ORDER BY section_name DESC,SELECT section_name FROM sections ORDER BY section_name DESC,SELECT section_name FROM sections ORDER BY section_name DESC,1,1
What is the semester which most student registered in? Show both the name and the id.,extra,"SELECT T1.semester_name ,  T1.semester_id FROM Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_id ORDER BY count(*) DESC LIMIT 1","SELECT semester_name, semester_id FROM semesters WHERE semester_id IN ( SELECT semester_id FROM student_enrolment GROUP BY semester_id ORDER BY COUNT(student_id) DESC LIMIT 1 ) ","SELECT T1.semester_name, T1.semester_id FROM semesters AS T1 INNER JOIN student_enrolment AS T2 ON T1.semester_id = T2.semester_id GROUP BY T1.semester_id ORDER BY COUNT(T2.student_id) DESC LIMIT 1",1,1
"For each semester, what is the name and id of the one with the most students registered?",extra,"SELECT T1.semester_name ,  T1.semester_id FROM Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_id ORDER BY count(*) DESC LIMIT 1","SELECT semester_id, semester_name, COUNT(student_id) AS student_count FROM students JOIN student_enrolment ON students.student_id = student_enrolment.student_id JOIN semesters ON student_enrolment.semester_id = semesters.semester_id GROUP BY semester_id, semester_name ORDER BY student_count DESC","SELECT T1.semester_name, T1.semester_id FROM semesters AS T1 INNER JOIN student_enrolment AS T2 ON T1.semester_id = T2.semester_id GROUP BY T1.semester_id ORDER BY COUNT(T2.student_id) DESC LIMIT 1",0,1
What is the description of the department whose name has the substring the computer?,medium,SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',SELECT T2.department_description FROM departments AS T1 JOIN degree_programs AS T2 ON T1.department_id = T2.department_id WHERE T1.department_name LIKE '%the computer%' LIMIT 1,SELECT T2.department_description FROM departments AS T1 INNER JOIN degree_programs AS T2 ON T1.department_id = T2.department_id WHERE T1.department_name LIKE '%the computer%',0,0
What is the department description for the one whose name has the word computer?,medium,SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',SELECT T1.department_description FROM departments AS T1 WHERE T1.department_name LIKE '%computer%' LIMIT 1,SELECT T2.department_description FROM departments AS T1 INNER JOIN degree_programs AS T2 ON T1.department_id = T2.department_id WHERE T1.department_name LIKE '%computer%',1,0
"Who are enrolled in 2 degree programs in one semester? List the first name, middle name and last name and the id.",medium,"SELECT T1.first_name ,  T1.middle_name ,  T1.last_name ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id HAVING count(*)  =  2","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING COUNT(DISTINCT T2.degree_program_id) = 2 AND COUNT(DISTINCT T2.semester_id) = 1",NULL,0,0
"What are the first, middle, and last names, along with the ids, of all students who enrolled in 2 degree programs in one semester?",medium,"SELECT T1.first_name ,  T1.middle_name ,  T1.last_name ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id HAVING count(*)  =  2","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING COUNT(DISTINCT T2.degree_program_id) = 2","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING COUNT(DISTINCT T2.degree_program_id) = 2 AND COUNT(DISTINCT T2.semester_id) = 1",0,0
"Who is enrolled in a Bachelor degree program? List the first name, middle name, last name.",hard,"SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name = 'Bachelor'","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id INNER JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name = 'Bachelor'",1,1
"What are the first, middle, and last names for everybody enrolled in a Bachelors program?",hard,"SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name = 'Bachelors'","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id INNER JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name = 'Bachelors'",0,0
Find the kind of program which most number of students are enrolled in?,extra,SELECT T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY count(*) DESC LIMIT 1,NULL,SELECT T1.degree_summary_name FROM degree_programs AS T1 INNER JOIN student_enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY COUNT(*) DESC LIMIT 1,0,1
What is the degree summary name that has the most number of students enrolled?,extra,SELECT T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY count(*) DESC LIMIT 1,SELECT T1.degree_summary_name FROM degree_programs AS T1 JOIN student_enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY COUNT(*) DESC LIMIT 1,SELECT T2.degree_summary_name FROM student_enrolment AS T1 INNER JOIN degree_programs AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T2.degree_summary_name ORDER BY COUNT(*) DESC LIMIT 1,1,1
Find the program which most number of students are enrolled in. List both the id and the summary.,extra,"SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.degree_program_id, T1.degree_summary_name FROM degree_programs AS T1 JOIN student_enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY COUNT(*) DESC LIMIT 1",NULL,1,0
What is the program id and the summary of the degree that has the most students enrolled?,extra,"SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.degree_program_id, T1.degree_summary_name FROM degree_programs AS T1 JOIN student_enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T1.degree_program_id, T1.degree_summary_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT T1.degree_program_id, T1.degree_summary_name FROM degree_programs AS T1 INNER JOIN student_enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id GROUP BY T1.degree_program_id, T1.degree_summary_name ORDER BY COUNT(*) DESC LIMIT 1",1,1
"Which student has enrolled for the most times in any program? List the id, first name, middle name, last name, the number of enrollments and student id.",extra,"SELECT T1.student_id ,  T1.first_name ,  T1.middle_name ,  T1.last_name ,  count(*) ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.student_id, T1.first_name, T1.middle_name, T1.last_name, COUNT(T2.student_enrolment_id) AS num_enrollments FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY num_enrollments DESC LIMIT 1","SELECT T1.student_id, T1.first_name, T1.middle_name, T1.last_name, COUNT(T2.degree_program_id) AS num_enrollments FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY num_enrollments DESC LIMIT 1",0,0
"What is the first, middle, and last name, along with the id and number of enrollments, for the student who enrolled the most in any program?",extra,"SELECT T1.student_id ,  T1.first_name ,  T1.middle_name ,  T1.last_name ,  count(*) ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id, COUNT(*) FROM students AS T1 JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY COUNT(*) DESC LIMIT 1","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id, COUNT(T2.degree_program_id) AS num_enrollments FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY num_enrollments DESC LIMIT 1",0,0
Which semesters do not have any student enrolled? List the semester name.,hard,SELECT semester_name FROM Semesters WHERE semester_id NOT IN( SELECT semester_id FROM Student_Enrolment ),SELECT semester_name FROM semesters WHERE semester_id NOT IN ( SELECT semester_id FROM student_enrolment ),SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment),1,1
What is the name of the semester with no students enrolled?,hard,SELECT semester_name FROM Semesters WHERE semester_id NOT IN( SELECT semester_id FROM Student_Enrolment ),SELECT semester_name FROM semesters WHERE semester_id NOT IN ( SELECT semester_id FROM student_enrolment ) ,SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment),1,1
What are all the course names of the courses which ever have students enrolled in?,easy,SELECT DISTINCT T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id,SELECT T1.course_name FROM courses AS T1 JOIN student_enrolment_courses AS T2 ON T1.course_id = T2.course_id,NULL,1,0
What are the names of all courses that have some students enrolled?,easy,SELECT DISTINCT T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id,SELECT T1.course_name FROM courses AS T1 JOIN student_enrolment_courses AS T2 ON T1.course_id = T2.course_id,SELECT T1.course_name FROM courses AS T1 INNER JOIN student_enrolment_courses AS T2 ON T1.course_id = T2.course_id  Step-by-Step Sub-Questions: . What courses are there in the database? 2. How can we identify which courses have students enrolled? 3. What is the relationship between courses and student enrollments? 4. How do we join the courses table with the student enrollments table to find courses with students? 5. What specific information are we looking to retrieve from the joined tables?,1,0
What's the name of the course with most number of enrollments?,extra,SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,SELECT T1.course_name FROM courses AS T1 JOIN student_enrolment_courses AS T2 ON T1.course_id = T2.course_id GROUP BY T1.course_name ORDER BY COUNT(*) DESC LIMIT 1,SELECT T1.course_name FROM courses AS T1 INNER JOIN student_enrolment_courses AS T2 ON T1.course_id = T2.course_id GROUP BY T1.course_name ORDER BY COUNT(*) DESC LIMIT 1,1,1
What is the name of the course with the most students enrolled?,extra,SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,select the top 1 course name.  SQLite Query: SELECT T3.course_name FROM student_enrolment_courses AS T1 JOIN student_enrolment AS T2 ON T1.student_enrolment_id = T2.student_enrolment_id JOIN courses AS T3 ON T1.course_id = T3.course_id GROUP BY T3.course_name ORDER BY COUNT(T2.student_id) DESC LIMIT 1,SELECT T2.course_name FROM student_enrolment AS T1 INNER JOIN courses AS T2 ON T1.course_id = T2.course_id GROUP BY T2.course_name ORDER BY COUNT(T1.student_id) DESC LIMIT 1,0,0
Find the last name of the students who currently live in the state of North Carolina but have not registered in any degree program.,extra,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,SELECT T1.last_name FROM students AS T1 JOIN addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T2.state_province_county = 'North Carolina' AND T1.student_id NOT IN ( SELECT student_id FROM student_enrolment ) ,SELECT T1.last_name FROM students AS T1 INNER JOIN addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T2.state_province_county = 'North Carolina' AND T1.student_id NOT IN (SELECT student_id FROM student_enrolment),0,0
What are the last name of the students who live in North Carolina but have not registered in any degree programs?,extra,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,SELECT last_name FROM students WHERE current_address_id IN ( SELECT address_id FROM addresses WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN ( SELECT student_id FROM student_enrolment ) ,SELECT T1.last_name FROM students AS T1 INNER JOIN addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T2.state_province_county = 'North Carolina' AND T1.student_id NOT IN (SELECT T3.student_id FROM student_enrolment AS T3 INNER JOIN degree_programs AS T4 ON T3.degree_program_id = T4.degree_program_id),0,0
Show the date and id of the transcript with at least 2 course results.,medium,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2","SELECT T1.transcript_date , T1.transcript_id FROM transcripts AS T1 JOIN transcript_contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id HAVING COUNT(*) >= 2","SELECT T1.transcript_date, T1.transcript_id FROM transcripts AS T1 INNER JOIN transcript_contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id HAVING COUNT(T2.student_course_id) >= 2",1,1
What is the date and id of the transcript with at least 2 courses listed?,medium,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2","SELECT T1.transcript_date, T1.transcript_id FROM transcripts AS T1 JOIN transcript_contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id HAVING COUNT(*) >= 2","SELECT T1.transcript_date, T1.transcript_id FROM transcripts AS T1 INNER JOIN transcript_contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id HAVING COUNT(T2.student_course_id) >= 2",1,1
What is the phone number of the man with the first name Timmothy and the last name Ward?,medium,SELECT cell_mobile_number FROM Students WHERE first_name  =  'Timmothy' AND last_name  =  'Ward',SELECT cell_mobile_number FROM students WHERE first_name = 'Timmothy' AND last_name = 'Ward',SELECT cell_mobile_number FROM students WHERE first_name = 'Timmothy' AND last_name = 'Ward',1,1
What is the mobile phone number of the student named Timmothy Ward ?,medium,select cell_mobile_number from students where first_name  =  'timmothy' and last_name  =  'ward',SELECT cell_mobile_number FROM students WHERE first_name = 'Timmothy' AND last_name = 'Ward',SELECT cell_mobile_number FROM students WHERE first_name = 'Timmothy' AND last_name = 'Ward',0,0
"Who is the first student to register? List the first name, middle name and last name.",medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students ORDER BY date_first_registered ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students ORDER BY date_first_registered ASC LIMIT 1",1,1
"What is the first, middle, and last name of the first student to register?",medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students ORDER BY date_first_registered ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students ORDER BY date_first_registered ASC LIMIT 1",1,1
"Who is the earliest graduate of the school? List the first name, middle name and last name.",medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students WHERE student_id IN ( SELECT student_id FROM student_enrolment WHERE semester_id IN ( SELECT semester_id FROM semesters WHERE semester_name = 'Graduation' ) ) ORDER BY date_left ASC LIMIT 1","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id WHERE T2.semester_id IN ( SELECT semester_id FROM semesters WHERE semester_name = 'Graduation' ) ORDER BY T1.date_first_registered ASC LIMIT 1",0,0
"What is the first, middle, and last name of the earliest school graduate?",medium,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM students WHERE date_left IS NOT NULL ORDER BY date_left ASC LIMIT 1","SELECT T1.first_name, T1.middle_name, T1.last_name FROM students AS T1 INNER JOIN student_enrolment AS T2 ON T1.student_id = T2.student_id WHERE T2.semester_id = (SELECT semester_id FROM semesters WHERE semester_name = 'Graduation') ORDER BY T1.date_first_registered ASC LIMIT 1",1,0
Whose permanent address is different from his or her current address? List his or her first name.,easy,SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,SELECT T1.first_name FROM students AS T1 JOIN addresses AS T2 ON T1.permanent_address_id = T2.address_id JOIN addresses AS T3 ON T1.current_address_id = T3.address_id WHERE T2.address_id != T3.address_id,NULL,1,0
What is the first name of the student whose permanent address is different from his or her current one?,easy,SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,SELECT T1.first_name FROM students AS T1 JOIN addresses AS T2 ON T1.permanent_address_id = T2.address_id JOIN addresses AS T3 ON T1.current_address_id = T3.address_id WHERE T2.address_id <> T3.address_id,SELECT T1.first_name FROM students AS T1 INNER JOIN addresses AS T2 ON T1.permanent_address_id = T2.address_id INNER JOIN addresses AS T3 ON T1.current_address_id = T3.address_id WHERE T2.line_1 <> T3.line_1 OR T2.line_2 <> T3.line_2 OR T2.line_3 <> T3.line_3 OR T2.city <> T3.city OR T2.zip_postcode <> T3.zip_postcode OR T2.state_province_county <> T3.state_province_county OR T2.country <> T3.country,1,1
Which address holds the most number of students currently? List the address id and all lines.,extra,"SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1","SELECT T2.address_id, T2.line_1, T2.line_2, T2.line_3, T2.city, T2.zip_postcode, T2.state_province_county, T2.country, T2.other_address_details FROM students AS T1 INNER JOIN addresses AS T2 ON T1.current_address_id = T2.address_id GROUP BY T2.address_id ORDER BY COUNT(T1.student_id) DESC LIMIT 1",NULL,0,0
"What is the id, line 1, and line 2 of the address with the most students?",extra,"SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1",NULL,"SELECT T1.address_id, T1.line_1, T1.line_2 FROM addresses AS T1 INNER JOIN students AS T2 ON T1.address_id = T2.current_address_id GROUP BY T1.address_id ORDER BY COUNT(T2.student_id) DESC LIMIT 1",0,1
"On average, when were the transcripts printed?",easy,SELECT avg(transcript_date) FROM Transcripts,SELECT AVG(transcript_date) FROM transcripts,SELECT AVG(transcript_date) FROM transcripts,1,1
What is the average transcript date?,easy,SELECT avg(transcript_date) FROM Transcripts,SELECT AVG(transcript_date) FROM transcripts,SELECT AVG(transcript_date) FROM transcripts,1,1
When is the first transcript released? List the date and details.,medium,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1",NULL,"SELECT transcript_date, other_details FROM transcripts ORDER BY transcript_date ASC LIMIT 1",0,1
"What is the earliest date of a transcript release, and what details can you tell me?",medium,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1",NULL,"SELECT MIN(transcript_date), other_details FROM transcripts",0,1
How many transcripts are released?,easy,SELECT count(*) FROM Transcripts,SELECT COUNT(transcript_id) FROM transcripts,SELECT COUNT(transcript_id) FROM transcripts,1,1
How many transcripts are listed?,easy,SELECT count(*) FROM Transcripts,NULL,SELECT COUNT(transcript_id) FROM transcripts,0,1
What is the last transcript release date?,medium,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,NULL,SELECT MAX(transcript_date) FROM transcripts,0,1
When was the last transcript released?,medium,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,NULL,SELECT transcript_date FROM transcripts ORDER BY transcript_date DESC LIMIT 1,0,1
How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,hard,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",NULL,NULL,0,0
What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,hard,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT T2.course_id, COUNT(*) FROM transcript_contents AS T1 JOIN student_enrolment_courses AS T2 ON T1.student_course_id = T2.student_course_id GROUP BY T2.course_id ORDER BY COUNT(*) DESC LIMIT 1",NULL,0,0
"Show the date of the transcript which shows the least number of results, also list the id.",extra,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","SELECT transcript_date ,  transcript_id FROM transcripts WHERE transcript_id IN ( SELECT transcript_id FROM transcript_contents GROUP BY transcript_id ORDER BY count(*) ASC LIMIT 1 ) ",NULL,1,0
What is the date and id of the transcript with the least number of results?,extra,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","SELECT transcript_date, transcript_id FROM transcripts ORDER BY transcript_contents.student_course_id ASC LIMIT 1","SELECT T1.transcript_date, T1.transcript_id FROM transcripts AS T1 INNER JOIN transcript_contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id ORDER BY COUNT(*) ASC LIMIT 1",0,1
Find the semester when both Master students and Bachelor students got enrolled in.,extra,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',NULL,"SELECT T1.semester_name FROM semesters AS T1 INNER JOIN student_enrolment AS T2 ON T1.semester_id = T2.semester_id INNER JOIN students AS T3 ON T2.student_id = T3.student_id WHERE T3.degree_program_id IN ( SELECT degree_program_id FROM degree_programs WHERE degree_summary_name IN ( 'Master', 'Bachelor' ) ) GROUP BY T1.semester_name HAVING COUNT(DISTINCT T3.student_id) > 1",0,0
What is the id of the semester that had both Masters and Bachelors students enrolled?,extra,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',NULL,"SELECT T1.semester_id FROM semesters AS T1 INNER JOIN student_enrolment AS T2 ON T1.semester_id = T2.semester_id INNER JOIN degree_programs AS T3 ON T2.degree_program_id = T3.degree_program_id WHERE T3.degree_summary_name IN ('Masters', 'Bachelors') GROUP BY T1.semester_id HAVING COUNT(DISTINCT T3.degree_summary_name) = 2",0,0
How many different addresses do the students currently live?,easy,SELECT count(DISTINCT current_address_id) FROM Students,SELECT COUNT(DISTINCT current_address_id) FROM students,SELECT COUNT(DISTINCT T1.current_address_id) FROM students AS T1 INNER JOIN addresses AS T2 ON T1.current_address_id = T2.address_id  Step-by-Step Sub-Questions: . What are the current addresses of the students? 2. How many unique current addresses are there?,1,0
